Title,CELEX number,Initiating document,Initial reference,Adopted acts,Procedure status,ECLI identifier,Subject matter,Transposed legal act(s),Date of document,Author,In force indicator,Publication Reference
Judgment of the Court (Sixth Chamber) of 18 June 1998. # Commission of the European Communities v Portuguese Republic. # Failure of a Member State to fulfil its obligations - Failure to transpose Directive 80/68/EEC. # Case C-183/97.,61997CJ0183,,,,,ECLI:EU:C:1998:310,"Environment, Waste, Approximation of laws, Pollution",,6/18/1998,Court of Justice,,European Court Reports 1998 I-04005
Judgment of the Court (Sixth Chamber) of 18 June 1998. # Commission of the European Communities v Portuguese Republic. # Failure to fulfil obligations - Directive 84/156/EEC - Failure to transpose within the prescribed period. # Case C-208/97.,61997CJ0208,,,,,ECLI:EU:C:1998:312,"Pollution, Environment, Waste, Approximation of laws",,6/18/1998,Court of Justice,,European Court Reports 1998 I-04017
"Judgment of the Court (Sixth Chamber) of 17 June 1998. # Kathleen Hill and Ann Stapleton v The Revenue Commissioners and Department of Finance. # Reference for a preliminary ruling: Labour Court, Dublin - Ireland. # Equal treatment of men and women - National civil servants - Job-sharing scheme - Incremental credit determined on the basis of the criterion of actual time worked - Indirect discrimination. # Case C-243/95.",61995CJ0243,,,,,ECLI:EU:C:1998:298,Social Policy,,6/17/1998,Court of Justice,,European Court Reports 1998 I-03739
Summary of the Judgment,61996CJ0068_SUM,,,,,,,,6/17/1998,Court of Justice,,
Judgment of the Court (Sixth Chamber) of 17 June 1998. # Wilhelm Mecklenburg v Kreis Pinneberg - Der Landrat. # Reference for a preliminary ruling: Schleswig-Holsteinisches Oberverwaltungsgericht - Germany. # Environment - Access to information - Directive 90/313/EEC - Administrative measure for the protection of the environment - Preliminary investigation proceedings. # Case C-321/96.,61996CJ0321,,,,,ECLI:EU:C:1998:300,Environment,,6/17/1998,Court of Justice,,European Court Reports 1998 I-03809
Summary of the Judgment,61997CJ0214_SUM,,,,,,,,6/17/1998,Court of Justice,,
Summary of the Judgment,61995CJ0243_SUM,,,,,,,,6/17/1998,Court of Justice,,
Summary of the Judgment,61996CJ0321_SUM,,,,,,,,6/17/1998,Court of Justice,,
Judgment of the Court (Sixth Chamber) of 17 June 1998. # Grundig Italiana SpA v Ministero delle Finanze. # Reference for a preliminary ruling: Tribunale di Trento - Italy. # National tax on audiovisual and photo-optical products - Internal taxation - Possible incompatibility with Community law. # Case C-68/96.,61996CJ0068,,,,,ECLI:EU:C:1998:299,"Internal taxation, Taxation",,6/17/1998,Court of Justice,,European Court Reports 1998 I-03775
Judgment of the Court (Sixth Chamber) of 17 June 1998. # Commission of the European Communities v Portuguese Republic. # Failure of a Member State to fulfil its obligations - Directive 75/440/EEC - Failure to transpose within the prescribed period. # Case C-214/97.,61997CJ0214,,,,,ECLI:EU:C:1998:301,"Pollution, Approximation of laws, Environment",,6/17/1998,Court of Justice,,European Court Reports 1998 I-03839
Judgment of the Court of 16 June 1998. # Hermès International (a partnership limited by shares) v FHT Marketing Choice BV. # Reference for a preliminary ruling: Arrondissementsrechtbank Amsterdam - Netherlands. # Agreement establishing the World Trade Organisation - TRIPS Agreement - Article 177 of the Treaty - Jurisdiction of the Court of Justice - Article 50 of the TRIPS Agreement - Provisional measures. # Case C-53/96.,61996CJ0053,,,,,ECLI:EU:C:1998:292,"Intellectual, industrial and commercial property, Trade marks, Commercial policy, External relations",,6/16/1998,Court of Justice,,European Court Reports 1998 I-03603
Judgment of the Court of 16 June 1998. # Criminal proceedings against Johannes Martinus Lemmens. # Reference for a preliminary ruling: Arrondissementsrechtbank Maastricht - Netherlands. # Directive 83/189/EEC - Procedure for the provision of information in the field of technical standards and regulations - Direct effect of the directive. # Case C-226/97.,61997CJ0226,,,,,ECLI:EU:C:1998:296,Approximation of laws,,6/16/1998,Court of Justice,,European Court Reports 1998 I-03711
Summary of the Judgment,61996CJ0053_SUM,,,,,,,,6/16/1998,Court of Justice,,
Summary of the Judgment,61996CJ0162_SUM,,,,,,,,6/16/1998,Court of Justice,,
Summary of the Judgment,61997CJ0226_SUM,,,,,,,,6/16/1998,Court of Justice,,
Summary of the Judgment,61996CJ0361_SUM,,,,,,,,6/11/1998,Court of Justice,,
Judgment of the Court (Sixth Chamber) of 11 June 1998. # Karlheinz Fischer v Finanzamt Donaueschingen. # Reference for a preliminary ruling: Finanzgericht Baden-Württemberg - Germany. # Tax provisions - Sixth VAT Directive - Application to the organisation of unlawful games of chance - Determination of the taxable amount. # Case C-283/95.,61995CJ0283,,,,,ECLI:EU:C:1998:276,"Taxation, Value added tax",,6/11/1998,Court of Justice,,European Court Reports 1998 I-03369
Judgment of the Court (Sixth Chamber) of 11 June 1998. # Commission of the European Communities v Grand Duchy of Luxemburg. # Failure by a Member State to fulfil its obligations - Non-transposition of Directive 76/464/EEC. # Case C-206/96.,61996CJ0206,,,,,ECLI:EU:C:1998:278,"Environment, Approximation of laws, Pollution",,6/11/1998,Court of Justice,,European Court Reports 1998 I-03401
Judgment of the Court (Sixth Chamber) of 11 June 1998. # Anne Kuusijärvi v Riksförsäkringsverket. # Reference for a preliminary ruling: Kammarrätten i Sundsvall - Sweden. # Social security - Regulation (EEC) No 1408/71 - Persons covered - Parental benefit - Maintenance of entitlement to benefits after tranfer of residence to another Member State. # Case C-275/96.,61996CJ0275,,,,,ECLI:EU:C:1998:279,Social security for migrant workers,,6/11/1998,Court of Justice,,European Court Reports 1998 I-03419
Summary of the Judgment,61997CJ0176_SUM,,,,,,,,6/11/1998,Court of Justice,,
Summary of the Judgment,61995CJ0232_SUM,,,,,,,,6/11/1998,Court of Justice,,
Summary of the Judgment,61997CJ0291_SUM,,,,,,,,6/11/1998,Court of Justice,,
Summary of the Judgment,61995CJ0283_SUM,,,,,,,,6/11/1998,Court of Justice,,
Summary of the Judgment,61996CJ0297_SUM,,,,,,,,6/11/1998,Court of Justice,,
Summary of the Judgment,61996CJ0206_SUM,,,,,,,,6/11/1998,Court of Justice,,
Summary of the Judgment,61997CJ0041_SUM,,,,,,,,6/11/1998,Court of Justice,,
Summary of the Judgment,61996CJ0275_SUM,,,,,,,,6/11/1998,Court of Justice,,
"Judgment of the Court (Third Chamber) of 11 June 1998. # Vera A. Partridge v Adjudication Officer. # Reference for a preliminary ruling: Social Security Commissioner - United Kingdom. # Social security - Special non-contributory benefits - Articles 4(2a), 5 and 10a of and Annex VI to Regulation (EEC) No 1408/71 - Attendance allowance - Non-exportability. # Case C-297/96.",61996CJ0297,,,,,ECLI:EU:C:1998:280,Social security for migrant workers,,6/11/1998,Court of Justice,,European Court Reports 1998 I-03467
Judgment of the Court (Fifth Chamber) of 11 June 1998. # H v Commission of the European Communities. # Appeal - Officials - Invalidity procedure - Assessment of facts. # Case C-291/97 P.,61997CJ0291,,,,,ECLI:EU:C:1998:287,Staff regulations and employment conditions - EC,,6/11/1998,Court of Justice,,European Court Reports 1998 I-03577
Judgment of the Court (Fifth Chamber) of 11 June 1998. # Commission of the European Communities v Kingdom of Belgium and Grand Duchy of Luxembourg. # Failure to fulfil obligations - Regulation (EEC) No 4055/86 - Freedom to provide maritime transport services - Maritime Agreement concluded with a third country - Cargo-sharing arrangement. # Joined cases C-176/97 and C-177/97.,61997CJ0176,,,,,ECLI:EU:C:1998:285,"Freedom to provide services, Transport",,6/11/1998,Court of Justice,,European Court Reports 1998 I-03557
"Judgment of the Court (Third Chamber) of 11 June 1998. # Belgian State v Foodic BV (a company in liquidation) and Peter Nyssen, Internationaal Expeditiebedrijf Verhaert NV, A. Maas & Co. NV and Jozef Picavet. # Reference for a preliminary ruling: Hof van Beroep Antwerpen - Belgium. # Interpretation of Regulation (EEC) no 1767/82 - Specific import levies on certain milk products - Description of Kashkaval cheese - Completion of IMA 1 certificate by the competent authority not in compliance with the conditions laid down in Regulation No 1767/82. # Case C-41/97.",61997CJ0041,,,,,ECLI:EU:C:1998:284,"Customs Union, Free movement of goods, Common customs tariff, Agriculture and Fisheries, Milk products",,6/11/1998,Court of Justice,,European Court Reports 1998 I-03527
Judgment of the Court (Fifth Chamber) of 11 June 1998. # Société générale des grandes sources d'eaux minérales françaises v Bundesamt für Finanzen. # Reference for a preliminary ruling: Finanzgericht Köln - Germany. # Value added tax - Interpretation of Article 3(a) of the Eighth Council Directive 79/1072/EEC - Obligation of taxpayers not established in the country concerned to annex the original invoices or import documents to applications for a refund of the tax - Possibility of annexing a duplicate where the original has been lost for reasons beyond the control of the taxpayer. # Case C-361/96.,61996CJ0361,,,,,ECLI:EU:C:1998:282,"Value added tax, Taxation",,6/11/1998,Court of Justice,,European Court Reports 1998 I-03495
Judgment of the Court (Sixth Chamber) of 11 June 1998. # Commission of the European Communities v Hellenic Republic. # Failure to fulfil obligations - Directive 76/464 - Water pollution - Non-transposition. # Joined cases C-232/95 and C-233/95.,61995CJ0232,,,,,ECLI:EU:C:1998:275,"Environment, Approximation of laws, Pollution",,6/11/1998,Court of Justice,,European Court Reports 1998 I-03343
Judgment of the Court of 9 June 1998. # Criminal proceedings against Yvon Chiciak and Fromagerie Chiciak (C-129/97) and Jean-Pierre Fol (C-130/97). # Reference for a preliminary ruling: Tribunal de grande instance de Dijon - France. # Regulation (EEC) No 2081/92 on the protection of geographical indications and designations of origin for agricultural products and foodstuffs - Exclusive competence of the Commission - Scope of the protection of names comprising several terms. # Joined cases C-129/97 and C-130/97.,61997CJ0129,,,,,ECLI:EU:C:1998:274,"Foodstuffs, Agriculture and Fisheries, Consumer protection",,6/9/1998,Court of Justice,,European Court Reports 1998 I-03315
Summary of the Judgment,61997CJ0129_SUM,,,,,,,,6/9/1998,Court of Justice,,
Judgment of the Court (Fifth Chamber) of 28 May 1998. # John Deere Ltd v Commission of the European Communities. # Appeal - Admissibility - Question of law - Question of fact - Competition - Information exchange system - Restriction of competition - Refusal to grant an exemption. # Case C-7/95 P.,61995CJ0007,,,,,ECLI:EU:C:1998:256,"Competition, Agreements, decisions and concerted practices, Concerted practices",,5/28/1998,Court of Justice,,European Court Reports 1998 I-03111
Judgment of the Court of 28 May 1998. # European Parliament v Council of the European Union. # Council Decision 95/468/EC - IDA - Telematic networks - Legal basis. # Case C-22/96.,61996CJ0022,,,,,ECLI:EU:C:1998:258,Industrial policy,,5/28/1998,Court of Justice,,European Court Reports 1998 I-03231
Judgment of the Court (Fifth Chamber) of 28 May 1998. # New Holland Ford Ltd v Commission of the European Communities. # Appeal - Admissibility - Question of law - Question of fact - Competition - Information exchange system - Restriction of competition - Refusal to grant an exemption. # Case C-8/95 P.,61995CJ0008,,,,,ECLI:EU:C:1998:257,"Agreements, decisions and concerted practices, Concerted practices, Competition",,5/28/1998,Court of Justice,,European Court Reports 1998 I-03175
Summary of the Judgment,61997CJ0298_SUM,,,,,,,,5/28/1998,Court of Justice,,
Summary of the Judgment,61995CJ0007_SUM,,,,,,,,5/28/1998,Court of Justice,,
Summary of the Judgment,61997CJ0003_SUM,,,,,,,,5/28/1998,Court of Justice,,
Summary of the Judgment,61995CJ0008_SUM,,,,,,,,5/28/1998,Court of Justice,,
Summary of the Judgment,61996CJ0022_SUM,,,,,,,,5/28/1998,Court of Justice,,
Summary of the Judgment,61997CJ0062_SUM,,,,,,,,5/28/1998,Court of Justice,,
Summary of the Judgment,61997CJ0213_SUM,,,,,,,,5/28/1998,Court of Justice,,
Judgment of the Court (First Chamber) of 28 May 1998. # Criminal proceedings against John Charles Goodwin and Edward Thomas Unstead. # Reference for a preliminary ruling: Court of Appeal (England) - United Kingdom. # Tax provisions - Harmonisation of laws - Turnover taxes - Common system of value added tax - Sixth Directive 77/388/EEC - Scope - Supply of counterfeit perfume products. # Case C-3/97.,61997CJ0003,,,,,ECLI:EU:C:1998:263,"Taxation, Value added tax",,5/28/1998,Court of Justice,,European Court Reports 1998 I-03257
Judgment of the Court (Fifth Chamber) of 28 May 1998. # Commission of the European Communities v Kingdom of Spain. # Failure of a Member State to fulfil its obligations - Directive 91/157/EEC - Failure by a Member State to adopt programmes provided for in Article 6 of the directive. # Case C-298/97.,61997CJ0298,,,,,ECLI:EU:C:1998:270,Environment,,5/28/1998,Court of Justice,,European Court Reports 1998 I-03301
Judgment of the Court (Fourth Chamber) of 28 May 1998. # Commission of the European Communities v María Lidia Lozano Palacios. # Appeal - Officials - Former national expert on detachment - Installation allowance. # Case C-62/97 P.,61997CJ0062,,,,,ECLI:EU:C:1998:266,Staff regulations and employment conditions - EC,,5/28/1998,Court of Justice,,European Court Reports 1998 I-03273
Judgment of the Court (Sixth Chamber) of 28 May 1998. # Commission of the European Communities v Portuguese Republic. # Failure by a Member State to fulfil its obligations - Directives 86/280/EEC and 88/347/EEC - Failure to transpose within the period prescribed. # Case C-213/97.,61997CJ0213,,,,,ECLI:EU:C:1998:268,"Environment, Approximation of laws, Pollution",,5/28/1998,Court of Justice,,European Court Reports 1998 I-03289
Judgment of the Court of 19 May 1998. # Commission of the European Communities v Kingdom of the Netherlands. # Conservation of wild birds - Special protection areas. # Case C-3/96.,61996CJ0003,,,,,ECLI:EU:C:1998:238,Environment,,5/19/1998,Court of Justice,,European Court Reports 1998 I-03031
Summary of the Judgment,61996CJ0003_SUM,,,,,,,,5/19/1998,Court of Justice,,
Summary of the Judgment,61995CJ0132_SUM,,,,,,,,5/19/1998,Court of Justice,,
Summary of the Judgment,61996CJ0351_SUM,,,,,,,,5/19/1998,Court of Justice,,
Judgment of the Court of 19 May 1998. # Bent Jensen and Korn- og Foderstofkompagniet A/S v Landbrugsministeriet - EF-Direktoratet. # Reference for a preliminary ruling: Østre Landsret - Denmark. # Community law - Principles - Set-off of amounts paid under Community law against debts payable to a Member State - Common agricultural policy - Regulation (EEC) No 1765/92 - Support system for producers of certain arable crops. # Case C-132/95.,61995CJ0132,,,,,ECLI:EU:C:1998:237,Agriculture and Fisheries,,5/19/1998,Court of Justice,,European Court Reports 1998 I-02975
"Judgment of the Court (Fifth Chamber) of 19 May 1998. # Drouot assurances SA v Consolidated metallurgical industries (CMI industrial sites), Protea assurance and Groupement d'intérêt économique (GIE) Réunion européenne. # Reference for a preliminary ruling: Cour de cassation - France. # Brussels Convention - Interpretation of Article 21 - Lis alibi pendens - Definition of \same parties\"" - Insurance company and its insured. # Case C-351/96.""",61996CJ0351,,,,,ECLI:EU:C:1998:242,"Brussels Convention of 27 September 1968 - Jurisdiction, Brussels Convention of 27 September 1968",,5/19/1998,Court of Justice,,European Court Reports 1998 I-03075
Judgment of the Court (Sixth Chamber) of 14 May 1998. # Council of the European Union v Lieve de Nil and Christiane Impens. # Appeal - Officials - Internal competition - Measures implementing a judgment annulling a decision - Promotion to a higher category following a competition with no retroactive effect - Material and non-material damage. # Case C-259/96 P.,61996CJ0259,,,,,ECLI:EU:C:1998:224,Staff regulations and employment conditions - EC,,5/14/1998,Court of Justice,,European Court Reports 1998 I-02915
Judgment of the Court (Third Chamber) of 14 May 1998. # Windpark Groothusen GmbH & Co. Betriebs KG v Commission of the European Communities. # Appeal - Financial support in the energy sector - Thermie programme - Right to full legal protection - Duty to state reasons - Right to a hearing - Discretion. # Case C-48/96 P.,61996CJ0048,,,,,ECLI:EU:C:1998:223,Energy,,5/14/1998,Court of Justice,,European Court Reports 1998 I-02873
Summary of the Judgment,61996CJ0048_SUM,,,,,,,,5/14/1998,Court of Justice,,
Summary of the Judgment,61997CJ0368_SUM,,,,,,,,5/14/1998,Court of Justice,,
Summary of the Judgment,61996CJ0364_SUM,,,,,,,,5/14/1998,Court of Justice,,
Summary of the Judgment,61996CJ0259_SUM,,,,,,,,5/14/1998,Court of Justice,,
"Judgment of the Court (Fifth Chamber) of 14 May 1998. # Verein für Konsumenteninformation v Österreichische Kreditversicherungs AG. # Reference for a preliminary ruling: Bezirksgericht für Handelssachen Wien - Austria. # Directive 90/314/EEC on package travel, package holidays and package tours - Extent of protection against the risk of the organiser's insolvency. # Case C-364/96.",61996CJ0364,,,,,ECLI:EU:C:1998:226,"Consumer protection, Approximation of laws",,5/14/1998,Court of Justice,,European Court Reports 1998 I-02949
"Judgment of the Court of 12 May 1998. # Mr and Mrs Robert Gilly v Directeur des services fiscaux du Bas-Rhin. # Reference for a preliminary ruling: Tribunal administratif de Strasbourg - France. # Articles 6, 48 and 220 of the EC Treaty - Equal treatment - Bilateral convention for the avoidance of double taxation - Frontier workers. # Case C-336/96.",61996CJ0336,,,,,ECLI:EU:C:1998:221,"anti-discrimination, Non-discrimination on grounds of nationality",,5/12/1998,Court of Justice,,European Court Reports 1998 I-02793
Judgment of the Court of 12 May 1998. # United Kingdom of Great Britain and Northern Ireland v Commission of the European Communities. # Community action programme to combat social exclusion - Funding - Legal basis. # Case C-106/96.,61996CJ0106,,,,,ECLI:EU:C:1998:218,"Financial provisions, Provisions governing the Institutions, Social Policy, Budget",,5/12/1998,Court of Justice,,European Court Reports 1998 I-02729
Summary of the Judgment,61996CJ0336_SUM,,,,,,,,5/12/1998,Court of Justice,,
Summary of the Judgment,61996CJ0085_SUM,,,,,,,,5/12/1998,Court of Justice,,
Summary of the Judgment,61996CJ0106_SUM,,,,,,,,5/12/1998,Court of Justice,,
Judgment of the Court of 12 May 1998. # Alexandros Kefalas and Others v Elliniko Dimosio (Greek State) and Organismos Oikonomikis Anasygkrotisis Epicheiriseon AE (OAE). # Reference for a preliminary ruling: Efeteio Athina - Greece. # Company law - Public limited liability company in financial difficulties - Increase in the capital of the company by administrative decision - Abusive exercise of a right arising from a provision of Community law. # Case C-367/96.,61996CJ0367,,,,,ECLI:EU:C:1998:222,Right of establishment,,5/12/1998,Court of Justice,,European Court Reports 1998 I-02843
Summary of the Judgment,61996CJ0170_SUM,,,,,,,,5/12/1998,Court of Justice,,
Summary of the Judgment,61995CJ0366_SUM,,,,,,,,5/12/1998,Court of Justice,,
Summary of the Judgment,61996CJ0367_SUM,,,,,,,,5/12/1998,Court of Justice,,
"Judgment of the Court (Fifth Chamber) of 12 May 1998. # Landbrugsministeriet - EF-Direktoratet v Steff-Houlberg Export I/S, Nowaco A/S, Nowaco Holding A/S and SMC af 31/12-1989 A/S. # Reference for a preliminary ruling: Højesteret - Denmark. # Community aid unduly paid - Recovery - Application of national law - Conditions and limits. # Case C-366/95.",61995CJ0366,,,,,ECLI:EU:C:1998:216,"Own resources, Financial provisions",,5/12/1998,Court of Justice,,European Court Reports 1998 I-02661
Judgment of the Court (Sixth Chamber) of 7 May 1998. # Clean Car Autoservice GesmbH v Landeshauptmann von Wien. # Reference for a preliminary ruling: Verwaltungsgerichtshof - Austria. # Freedom of movement for workers - National legislation requiring legal persons to appoint as manager a person residing in the country - Indirect discrimination. # Case C-350/96.,61996CJ0350,,,,,ECLI:EU:C:1998:205,Free movement of workers,,5/7/1998,Court of Justice,,European Court Reports 1998 I-02521
Judgment of the Court (Fifth Chamber) of 7 May 1998. # Lease Plan Luxembourg SA v Belgian State. # Reference for a preliminary ruling: Rechtbank van eerste aanleg Brussel - Belgium. # Sixth VAT Directive - Car-leasing services - Fixed establishment - Rules governing reimbursement of VAT to taxable persons not established in the territory of the State - Principle of non-discrimination. # Case C-390/96.,61996CJ0390,,,,,ECLI:EU:C:1998:206,"anti-discrimination, Non-discrimination on grounds of nationality",,5/7/1998,Court of Justice,,European Court Reports 1998 I-02553
Judgment of the Court (Sixth Chamber) of 7 May 1998. # Commission of the European Communities v Kingdom of Spain. # Failure of a Member State to fulfil its obligations - Sixth Council Directive 77/388/EEC - Exemption of certain supplies of services closely linked to sport or physical education - Unjustified restrictions. # Case C-124/96.,61996CJ0124,,,,,ECLI:EU:C:1998:204,"Value added tax, Taxation",,5/7/1998,Court of Justice,,European Court Reports 1998 I-02501
Judgment of the Court (Fifth Chamber) of 7 May 1998. # Somaco SARL v Commission of the European Communities. # Appeals - Competition - No anti-competitive conduct in Martinique by reason of irresistible pressure on the part of the local administration - Distortion of evidence. # Case C-401/96 P.,61996CJ0401,,,,,ECLI:EU:C:1998:208,"Competition, Agreements, decisions and concerted practices",,5/7/1998,Court of Justice,,European Court Reports 1998 I-02587
"Judgment of the Court (Fourth Chamber) of 7 May 1998. # Epifanio Viscido (C-52/97), Mauro Scandella and Others (C-53/97) and Massimiliano Terragnolo and Others (C-54/97) v Ente Poste Italiane. # References for a preliminary ruling: Pretura circondariale di Trento - Italy. # Aid granted by Member States - Meaning - National law providing that only one public utility is relieved of the obligation of observing a rule of general application relating to fixed-term employment contracts. # Joined cases C-52/97, C-53/97 and C-54/97.",61997CJ0052,,,,,ECLI:EU:C:1998:209,"State aids, Competition",,5/7/1998,Court of Justice,,European Court Reports 1998 I-02629
Summary of the Judgment,61996CJ0113_SUM,,,,,,,,5/7/1998,Court of Justice,,
Summary of the Judgment,61996CJ0124_SUM,,,,,,,,5/7/1998,Court of Justice,,
Summary of the Judgment,61996CJ0390_SUM,,,,,,,,5/7/1998,Court of Justice,,
Summary of the Judgment,61996CJ0350_SUM,,,,,,,,5/7/1998,Court of Justice,,
Summary of the Judgment,61997CJ0145_SUM,,,,,,,,5/7/1998,Court of Justice,,
Summary of the Judgment,61997CJ0052_SUM,,,,,,,,5/7/1998,Court of Justice,,
Summary of the Judgment,61996CJ0401_SUM,,,,,,,,5/7/1998,Court of Justice,,
Judgment of the Court (Sixth Chamber) of 7 May 1998. # Commission of the European Communities v Kingdom of Belgium. # Failure to fulfil obligations - Obligation of prior communication under Directive 83/189/EEC. # Case C-145/97.,61997CJ0145,,,,,ECLI:EU:C:1998:212,Approximation of laws,,5/7/1998,Court of Justice,,European Court Reports 1998 I-02643
Judgment of the Court (Fifth Chamber) of 7 May 1998. # Manuela Gómez Rodríguez and Gregorio Gómez Rodríguez v Landesversicherungsanstalt Rheinprovinz. # Reference for a preliminary ruling: Bundessozialgericht - Germany. # Social security for migrant workers - Orphans' benefits. # Case C-113/96.,61996CJ0113,,,,,ECLI:EU:C:1998:203,Social security for migrant workers,,5/7/1998,Court of Justice,,European Court Reports 1998 I-02461
Judgment of the Court of 5 May 1998. # United Kingdom of Great Britain and Northern Ireland v Commission of the European Communities. # Agriculture - Animal health - Emergency measures against bovine spongiform encephalopathy - 'Mad cow disease'. # Case C-180/96.,61996CJ0180,,,,,ECLI:EU:C:1998:192,"Agriculture and Fisheries, Beef and veal, Veterinary legislation",,5/5/1998,Court of Justice,,European Court Reports 1998 I-02265
Judgment of the Court of 5 May 1998. # Société Louis Dreyfus & Cie v Commission of the European Communities. # Emergency assistance given by the Community to the States of the former Soviet Union - Loan - Documentary credit - Action for annulment - Admissibility - 'Directly concerned'. # Case C-386/96 P.,61996CJ0386,,,,,ECLI:EU:C:1998:193,"External relations, Food aid",,5/5/1998,Court of Justice,,European Court Reports 1998 I-02309
"Judgment of the Court of 5 May 1998. # Glencore Grain Ltd, formerly Richco Commodities Ltd v Commission of the European Communities. # Emergency assistance given by the Community to the States of the former Soviet Union - Loan - Documentary credit - Action for annulment - Admissibility - 'Directly concerned'. # Case C-404/96 P.",61996CJ0404,,,,,ECLI:EU:C:1998:196,"External relations, Food aid",,5/5/1998,Court of Justice,,European Court Reports 1998 I-02435
Judgment of the Court of 5 May 1998. # Compagnie Continentale (France) SA v Commission of the European Communities. # Emergency assistance given by the Community to the States of the former Soviet Union - Loan - Documentary credit - Action for annulment - Admissibility - 'Directly concerned'. # Case C-391/96 P.,61996CJ0391,,,,,ECLI:EU:C:1998:194,"Food aid, External relations",,5/5/1998,Court of Justice,,European Court Reports 1998 I-02377
"Judgment of the Court of 5 May 1998. # Glencore Grain Ltd, formerly Richco Commodities Ltd v Commission of the European Communities. # Emergency assistance given by the Community to the States of the former Soviet Union - Loan - Documentary credit - Action for annulment - Admissibility - 'Directly concerned'. # Case C-403/96 P.",61996CJ0403,,,,,ECLI:EU:C:1998:195,"External relations, Food aid",,5/5/1998,Court of Justice,,European Court Reports 1998 I-02405
"Judgment of the Court of 5 May 1998. # The Queen v Ministry of Agriculture, Fisheries and Food, Commissioners of Customs & Excise, ex parte National Farmers' Union, David Burnett and Sons Ltd, R. S. and E. Wright Ltd, Anglo Beef Processors Ltd, United Kingdom Genetics, Wyjac Calves Ltd, International Traders Ferry Ltd, MFP International Ltd, Interstate Truck Rental Ltd and Vian Exports Ltd. # Reference for a preliminary ruling: High Court of Justice, Queen's Bench Division - United Kingdom. # Agriculture - Animal health - Emergency measures against bovine spongiform encephalopathy - 'Mad cow disease'. # Case C-157/96.",61996CJ0157,,,,,ECLI:EU:C:1998:191,"Veterinary legislation, Beef and veal, Agriculture and Fisheries",,5/5/1998,Court of Justice,,European Court Reports 1998 I-02211
Summary of the Judgment,61996CJ0157_SUM,,,,,,,,5/5/1998,Court of Justice,,
Summary of the Judgment,61996CJ0404_SUM,,,,,,,,5/5/1998,Court of Justice,,
Summary of the Judgment,61996CJ0403_SUM,,,,,,,,5/5/1998,Court of Justice,,
Summary of the Judgment,61996CJ0180_SUM,,,,,,,,5/5/1998,Court of Justice,,
Summary of the Judgment,61996CJ0391_SUM,,,,,,,,5/5/1998,Court of Justice,,
Summary of the Judgment,61996CJ0386_SUM,,,,,,,,5/5/1998,Court of Justice,,
"Judgment of the Court (Sixth Chamber) of 30 April 1998. # August De Vriendt v Rijksdienst voor Pensioenen (C-377/96), Rijksdienst voor Pensioenen v René van Looveren (C-378/96), Julien Grare (C-379/96), Karel Boeykens (C-380/96) and Frans Serneels (C-381/96) and Office national des pensions (ONP) v Fredy Parotte (C-382/96), Camille Delbrouck (C-383/96) and Henri Props (C-384/96). # References for a preliminary ruling: Hof van Cassatie and Cour de cassation - Belgium. # Directive 79/7/EEC - Equal treatment - Old-age and retirement pensions - Method of calculation - Pensionable age. # Joined cases C-377/96 to C-384/96.",61996CJ0377,,,,,ECLI:EU:C:1998:183,Social Policy,,4/30/1998,Court of Justice,,European Court Reports 1998 I-02105
Judgment of the Court (Sixth Chamber) of 30 April 1998. # Caisse nationale d'assurance vieillesse des travailleurs salariés (CNAVTS) v Evelyne Thibault. # Reference for a preliminary ruling: Cour de cassation - France. # Equal treatment for men and women - Directive 76/207/EEC - Maternity leave - Right to an assessment of performance. # Case C-136/95.,61995CJ0136,,,,,ECLI:EU:C:1998:178,Social Policy,,4/30/1998,Court of Justice,,European Court Reports 1998 I-02011
Summary of the Judgment,61997CJ0215_SUM,,,,,,,,4/30/1998,Court of Justice,,
Summary of the Judgment,61996CJ0377_SUM,,,,,,,,4/30/1998,Court of Justice,,
Judgment of the Court of 30 April 1998. # Sodiprem SARL and Others (C-37/96) and Roger Albert SA (C-38/96) v Direction générale des douanes. # Reference for a preliminary ruling: Tribunal d'instance de Paris - France. # Dock dues (octroi de mer) - Fiscal rules applicable to the French overseas departments - Decision 89/688/EEC - Charges having an effect equivalent to a customs duty - Internal taxation. # Joined cases C-37/96 and C-38/96.,61996CJ0037,,,,,ECLI:EU:C:1998:179,"Taxation, Internal taxation",,4/30/1998,Court of Justice,,European Court Reports 1998 I-02039
"Judgment of the Court (Sixth Chamber) of 30 April 1998. # Cabour SA and Nord Distribution Automobile SA v Arnor \SOCO\"" SARL, supported by Automobiles Peugeot SA and Automobiles Citroën SA. # Reference for a preliminary ruling: Cour d'appel de Douai - France. # Competition - Vehicle distribution - Validity of exclusive dealership agreement - Article 85(1) and (3) of the EC Treaty - Regulation (EEC) No 123/85 - Regulation (EC) No 1475/95. # Case C-230/96.""",61996CJ0230,,,,,ECLI:EU:C:1998:181,"Agreements, decisions and concerted practices, Competition, Exclusive agreements",,4/30/1998,Court of Justice,,European Court Reports 1998 I-02055
Summary of the Judgment,61996CJ0230_SUM,,,,,,,,4/30/1998,Court of Justice,,
Summary of the Judgment,61995CJ0136_SUM,,,,,,,,4/30/1998,Court of Justice,,
Summary of the Judgment,61997CJ0024_SUM,,,,,,,,4/30/1998,Court of Justice,,
Summary of the Judgment,61996CJ0037_SUM,,,,,,,,4/30/1998,Court of Justice,,
